Cliente,Periodo,Primera_Compra
METALTEC ENGENEERING STEELS E.I.R.L.,2026-08,2026-08-07
MINERA CRC SOCIEDAD ANONIMA CERRADA,2026-08,2026-08-13
METAL TECNICA S A,2026-08,2026-08-14
HYDEXCORP S.A.C.,2026-08,2026-08-19
SALVADOR ZA FISHING S.A.C.,2026-08,2026-08-25
MAQUIRENA S.A.C.,2026-08,2026-08-26
KANAY S.A.C.,2026-08,2026-08-29
MICHELL Y CIA S.A.,2026-09,2026-09-03
GEOTECH DRILLING PRODUCTS S.A.C.,2026-09,2026-09-09
