Producto,Codigo,Marca,Periodo,Cantidad,Monto_USD
INTERCOOLER P/CAT C6.6 365-2908 BAP S/ALEROS,20100283,Otros,2026-09,1.0,1850.0
HAZ TUBULAR BOWMAN FG120 TUBO COBRE BAFLE / AL,40200071,Bowman,2026-09,2.0,1564.0
ENFRIADOR DE ACEITE HIDR. HTXDC-011P-02-N-BW 24V DC (copiar),40600390,Heatex,2026-09,3.0,1490.0
SERVICIO DE FABRICACION (copiar),90000012,Otros,2026-09,198.58,1325.55
ENFRIADOR DE ACEITE HIDRAULICO PARKER (A539011),40600301,Heatex,2026-09,3.0,1280.0
INTERCAMBIADOR SOLDADO DOC30-50H-F BPHE / 3287193999,40100302,Alfa Laval,2026-09,1.0,1244.5
MOTOR HTX0367 1.75HP AC IP66 (copiar),40600373,Heatex,2026-09,125.0,1000.0
ENFRIADOR HIDRAULICO BAP COMPLETO CMS1/O/24V/002 66337005,40600503,Heatex,2026-09,1.0,980.0
"JEBE DESMONT. CENTRAL TIPO ""M"" MACHO HEATEX N / P 800829 * 14.88""",40600010,Heatex,2026-09,28.0,560.0
ORING NITRILO 2-349 ( Ø5.33 * 113.67) FG120,10240115,Bowman,2026-09,4.0,34.0
