RM_RF,Sede,F_RM,F_Ing_Desp,F_Desp,F_Rec_Ft,SPOT,Tasa,F_Emision,Dias_Cred,F_Vencimiento,Tipo_Doc,NroFactura,Cliente,USD,Detracc_Ret,Neto,Agenda,Canc_Pendiente,Estatus,Situacion,Fecha_Est_Pago,F_Pago,BCO,MON,Nro_Ope,Pago_Parcial,Pago_Total,Detrac_Ret_Pago,Factoring,Saldo_x_Cobrar,Dias_Planta,Dias_Desp,Dias_Sin_Fact,Dias_Mora,Dias_Cierre_RM,RR_VV,F_Pago_Comision,Rubro,T_Pedido,Nro_Semana,Anio,Sem_Pago,Detrac_SUNAT,Estado_Det_Ret,F_Fact,T_Cam_Fact,Detracci_USD,Verificacion_Det,Observaciones,Fecha_Ult_Mod_Manual,Usuario_Mod_Manual,Origen
026-0011896,LIMA,2026-07-01,,,,RET,,2026-07-24,45,,FAC,F004-00002174,UNION DE CONCRETERAS S.A,3986.49,,,,PENDIENTE,,,,,,,,,,,,,,,,,,Manuel Alvarez,,VENTA,,,,,,,,1.0000,,,,2026-04-16 07:58:55.187000,AsistenteContable1,1
026-0011954,LIMA,2026-07-18,,,,VENTA,,2026-07-24,30,,FAC,F004-00002176,SISTEMAS CONVENCIONALES S.A.C.,1357.00,,,,PENDIENTE,,,,,,,,,,,,,,,,,,Jeancarlos Castillo,,VENTA,,,,,,,,3.4040,,,,2026-04-16 07:58:55.203000,AsistenteContable1,1
026-0011699,LIMA,2026-07-25,,,,RET,,2026-07-30,45,,FAC,F004-00002178,UNION DE CONCRETERAS S.A,0.00,,,,PENDIENTE,,,,,,,,,,,,,,,,,,Manuel Alvarez,,FABRIC.,,,,,,,,1.0000,,,,2026-04-16 07:58:55.203000,AsistenteContable1,1
026-0011374,LIMA,2026-07-13,,,,RET,,2026-07-30,60,,FAC,F004-00002181,NEXA RESOURCES PERU S.A.A.,6313.00,,,,PENDIENTE,,,,,,,,,,,,,,,,,,Mercedes Quispe,,VENTA,,,,,,,,0.0000,,,,2026-04-16 07:58:55.203000,AsistenteContable1,1
026-0012006,LIMA,2026-07-31,,,,RET,,2026-07-31,60,,FAC,F004-00002184,MAQPOWER S.A.C.,6136.00,,,,PENDIENTE,,,,,,,,,,,,,,,,,,Jeancarlos Castillo,,FABRIC.,,,,,,,,3.3990,,,,2026-04-16 07:58:55.203000,AsistenteContable1,1
026-0012002,LIMA,2026-07-21,,,,RET,,2026-07-31,60,,FAC,F004-00002185,MAQPOWER S.A.C.,8024.00,,,,PENDIENTE,,,,,,,,,,,,,,,,,,Jeancarlos Castillo,,FABRIC.,,,,,,,,3.3990,,,,2026-04-16 07:58:55.203000,AsistenteContable1,1
026-0012033,LIMA,2026-07-31,,,,VENTA,,2026-07-31,7,,FAC,F004-00002186,KYAN INGENIERIA Y MONTAJES S.A.C.,1923.11,,,,PENDIENTE,,,,,,,,,,,,,,,,,,Mario Li,,FABRIC.,,,,,,,,3.3990,,,,2026-04-16 07:58:55.203000,AsistenteContable1,1
026-0011704,LIMA,2026-05-28,,,,RET,,2026-07-31,30,,FAC,F004-00002188,ROBOCON SERVICIOS S.A.C.,1156.40,,,,PENDIENTE,,,,2026-08-13,BCP,USD,9679945,,583.75,,,,,,,,,Jeancarlos Castillo,,VENTA,,,,,,,,3.3990,,,,2026-04-16 07:58:55.203000,AsistenteContable1,1
026-0012029,LIMA,2026-08-03,,,,RET,,2026-08-07,60,,FAC,F004-00002193,JRC INGENIERÍA Y CONSTRUCCIÓN S.A.C.,1994.20,,,,PENDIENTE,,,,,,,,,,,,,,,,,,Arnold Hernández,,VENTA,,,,,,,,0.0000,,,,2026-04-16 07:58:55.220000,AsistenteContable1,1
026-0012026,LIMA,2026-07-27,,,,VENTA,,2026-08-07,30,,FAC,F004-00002196,TECNOMECANICA SERVICIOS HIDRAULICOS SOCIEDAD ANONIMA CERRADA,1640.20,,,,PENDIENTE,,,,,,,,,,,,,,,,,,Jeancarlos Castillo,,VENTA,,,,,,,,0.0000,,,,2026-04-16 07:58:55.220000,AsistenteContable1,1
026-0011554,LIMA,2026-08-04,,,,RET,,2026-08-07,45,,FAC,F004-00002200,RESEMIN S.A.,9430.56,,,,PENDIENTE,,,,,,,,,,,,,,,,,,Jeancarlos Castillo,,VENTA,,,,,,,,0.0000,,,,2026-04-16 07:58:55.220000,AsistenteContable1,1
026-0011940,LIMA,2026-08-04,,,,DET MANT,,2026-08-10,30,,FAC,F004-00002203,SERVICIOS MINEROS RF S.A.C.,8570.69,,,,PENDIENTE,,,,,,,,,,,,,,,,,,Manuel Alvarez,,SERVICIO,,,,,,,,3.3910,,,,2026-04-16 07:58:55.220000,AsistenteContable1,1
026-0011424,LIMA,2026-04-11,,,,VENTA,,2026-08-10,60,,FAC,F004-00002206,STRACON PERÚ S.A.,7563.80,,,,PENDIENTE,,,,,,,,,,,,,,,,,,Arnold Hernández,,FABRIC.,,,,,,,,3.3910,,,,2026-04-16 07:58:55.220000,AsistenteContable1,1
026-0012028,LIMA,2026-08-01,,,,RET,,2026-08-11,60,,FAC,F004-00002207,VOLCAN COMPANIA MINERA S.A.A.,3374.95,,,,PENDIENTE,,,,,,,,,,,,,,,,,,Arnold Hernández,,VENTA,,,,,,,,1.0000,,,,2026-04-16 07:58:55.220000,AsistenteContable1,1
026-0011875,LIMA,2026-07-01,,,,RET,,2026-08-11,60,,FAC,F004-00002208,VOLCAN COMPANIA MINERA S.A.A.,6970.85,,,,PENDIENTE,,,,,,,,,,,,,,,,,,Arnold Hernández,,VENTA,,,,,,,,3.3870,,,,2026-04-16 07:58:55.220000,AsistenteContable1,1
026-0012054,LIMA,2026-08-07,,,,RET,,2026-08-11,60,,FAC,F004-00002209,JRC INGENIERÍA Y CONSTRUCCIÓN S.A.C.,4180.03,,,,PENDIENTE,,,,,,,,,,,,,,,,,,Arnold Hernández,,VENTA,,,,,,,,3.3870,,,,2026-04-16 07:58:55.233000,AsistenteContable1,1
026-0012049,LIMA,2026-08-05,,,,RET,,2026-08-11,45,,FAC,F004-00002210,UNION DE CONCRETERAS S.A,1734.60,,,,PENDIENTE,,,,,,,,,,,,,,,,,,Manuel Alvarez,,VENTA,,,,,,,,3.3870,,,,2026-04-16 07:58:55.233000,AsistenteContable1,1
026-0012075,LIMA,2026-08-10,,,,RET,,2026-08-12,60,,FAC,F004-00002215,JRC INGENIERÍA Y CONSTRUCCIÓN S.A.C.,2788.34,,,,PENDIENTE,,,,,,,,,,,,,,,,,,Arnold Hernández,,VENTA,,,,,,,,3.3720,,,,2026-04-16 07:58:55.233000,AsistenteContable1,1
026-0012052,LIMA,2026-08-07,,,,DET MANT,,2026-08-13,15,,FAC,F004-00002218,MINERA CRC SOCIEDAD ANONIMA CERRADA,858.45,,,,PENDIENTE,,,,,,,,,,,,,,,,,,Manuel Alvarez,,SERVICIO,,,,,,,,3.3650,,,,2026-04-16 07:58:55.233000,AsistenteContable1,1
026-0011965,LIMA,2026-07-16,,,,RET,,2026-08-13,45,,FAC,F004-00002219,UNION DE CONCRETERAS S.A,1734.60,,,,PENDIENTE,,,,,,,,,,,,,,,,,,Manuel Alvarez,,VENTA,,,,,,,,3.3650,,,,2026-04-16 07:58:55.233000,AsistenteContable1,1
025-0010889,LIMA,2025-12-10,,,,RET,,2026-08-13,45,,FAC,F004-00002220,UNION DE CONCRETERAS S.A,1734.60,,,,PENDIENTE,,,,,,,,,,,,,,,,,,Manuel Alvarez,,VENTA,,,,,,,,3.3650,,,,2026-04-16 07:58:55.233000,AsistenteContable1,1
026-0012058,LIMA,2026-08-05,,,,RET,,2026-08-14,60,,FAC,F004-00002222,JRC INGENIERÍA Y CONSTRUCCIÓN S.A.C.,2584.20,,,,PENDIENTE,,,,,,,,,,,,,,,,,,Arnold Hernández,,FABRIC.,,,,,,,,3.3710,,,,2026-04-16 07:58:55.250000,AsistenteContable1,1
026-0012050,LIMA,2026-08-13,,,,RET,,2026-08-14,60,,FAC,F004-00002223,JRC INGENIERÍA Y CONSTRUCCIÓN S.A.C.,5537.74,,,,PENDIENTE,,,,,,,,,,,,,,,,,,Arnold Hernández,,FABRIC.,,,,,,,,3.3710,,,,2026-04-16 07:58:55.250000,AsistenteContable1,1
026-0011533,LIMA,2026-07-09,,,,DET MANT,,2026-08-17,60,,FAC,F004-00002229,COMPAÑIA MINERA CHUNGAR S.A.C.,5599.40,,,,PENDIENTE,,,,,,,,,,,,,,,,,,Arnold Hernández,,SERVICIO,,,,,,,,3.3680,,,,2026-04-16 07:58:55.250000,AsistenteContable1,1
026-0012047,LIMA,2026-08-11,,,,VENTA,,2026-08-17,30,,FAC,F004-00002230,TECNOMECANICA SERVICIOS HIDRAULICOS SOCIEDAD ANONIMA CERRADA,1156.40,,,,PENDIENTE,,,,,,,,,,,,,,,,,,Jeancarlos Castillo,,VENTA,,,,,,,,3.3680,,,,2026-04-16 07:58:55.250000,AsistenteContable1,1
026-0012073,LIMA,2026-08-10,,,,RET,,2026-08-17,15,,FAC,F004-00002231,IESA S A,1357.00,,,,PENDIENTE,,,,,,,,,,,,,,,,,,Arnold Hernández,,VENTA,,,,,,,,3.3680,,,,2026-04-16 07:58:55.250000,AsistenteContable1,1
026-0011706,LIMA,2026-08-13,,,,RET,,2026-08-17,45,,FAC,F004-00002233,RESEMIN S.A.,25252.00,,,,PENDIENTE,,,,,,,,,,,,,,,,,,Asistente Comercial,,VENTA,,,,,,,,3.3680,,,,2026-04-16 07:58:55.250000,AsistenteContable1,1
026-0012090,LIMA,2026-08-13,,,,RET,,2026-08-18,15,,FAC,F004-00002236,IESA S A,1357.00,,,,PENDIENTE,,,,,,,,,,,,,,,,,,Arnold Hernández,,VENTA,,,,,,,,3.3700,,,,2026-04-16 07:58:55.267000,AsistenteContable1,1
026-0011449,LIMA,2026-06-27,,,,DET MANT,,2026-08-18,60,,FAC,F004-00002237,COMPAÑIA MINERA CHUNGAR S.A.C.,14162.36,,,,PENDIENTE,,,,,,,,,,,,,,,,,,Arnold Hernández,,SERVICIO,,,,,,,,3.3700,,,,2026-04-16 07:58:55.267000,AsistenteContable1,1
026-0011920,LIMA,2026-07-10,,,,VENTA,,2026-08-20,30,,FAC,F004-00002245,TECNOMECANICA SERVICIOS HIDRAULICOS SOCIEDAD ANONIMA CERRADA,1888.00,,,,PENDIENTE,,,,,,,,,,,,,,,,,,Jeancarlos Castillo,,VENTA,,,,,,,,3.3610,,,,2026-04-16 07:58:55.267000,AsistenteContable1,1
026-0011954,LIMA,2026-07-18,,,,VENTA,,2026-08-21,30,,FAC,F004-00002246,SISTEMAS CONVENCIONALES S.A.C.,1357.00,,,,PENDIENTE,,,,,,,,,,,,,,,,,,Jeancarlos Castillo,,VENTA,,,,,,,,3.3610,,,,2026-04-16 07:58:55.267000,AsistenteContable1,1
026-0012096,LIMA,2026-08-17,,,,VENTA,,2026-08-24,30,,FAC,F004-00002252,TP INTERCAMBIADORES S.A.C.,2950.00,,,,PENDIENTE,,,,,,,,,,,,,,,,,,Asistente Comercial,,VENTA,,,,,,,,3.3520,,,,2026-04-16 07:58:55.267000,AsistenteContable1,1
026-0012089,LIMA,2026-08-19,,,,DET MANT,,2026-08-25,30,,FAC,F004-00002256,CONSORCIO FRAP S.A.C.,17999.25,,,,PENDIENTE,,,,2026-08-21,BBVA,USD,4179,3167.87,,,,,,,,,,Manuel Alvarez,,SERVICIO,,,,,,,,3.3560,,,,2026-04-16 07:58:55.267000,AsistenteContable1,1
026-0011831,LIMA,2026-08-17,,,,DET MANT,,2026-08-25,45,,FAC,F004-00002257,RESEMIN S.A.,938.10,,,,PENDIENTE,,,,,,,,,,,,,,,,,,Arnold Hernández,,SERVICIO,,,,,,,,3.3560,,,,2026-04-16 07:58:55.267000,AsistenteContable1,1
026-0011984,LIMA,2026-08-12,,,,DET MANT,,2026-08-25,45,,FAC,F004-00002258,RESEMIN S.A.,914.50,,,,PENDIENTE,,,,,,,,,,,,,,,,,,Arnold Hernández,,SERVICIO,,,,,,,,3.3560,,,,2026-04-16 07:58:55.267000,AsistenteContable1,1
026-0012038,LIMA,2026-08-12,,,,DET MANT,,2026-08-25,45,,FAC,F004-00002259,RESEMIN S.A.,901.52,,,,PENDIENTE,,,,,,,,,,,,,,,,,,Arnold Hernández,,SERVICIO,,,,,,,,3.3560,,,,2026-04-16 07:58:55.280000,AsistenteContable1,1
026-0011777,LIMA,2026-06-17,,,,DET MANT,,2026-08-25,60,,FAC,F004-00002260,VOLCAN COMPANIA MINERA S.A.A.,17185.52,,,,PENDIENTE,,,,,,,,,,,,,,,,,,Arnold Hernández,,SERVICIO,,,,,,,,3.3560,,,,2026-04-16 07:58:55.280000,AsistenteContable1,1
026-0012103,LIMA,2026-08-18,,,,RET,,2026-08-25,60,,FAC,F004-00002261,VOLCAN COMPANIA MINERA S.A.A.,5576.68,,,,PENDIENTE,,,,,,,,,,,,,,,,,,Arnold Hernández,,VENTA,,,,,,,,3.3560,,,,2026-04-16 07:58:55.280000,AsistenteContable1,1
026-0012023,LIMA,2026-08-17,,,,DET MANT,,2026-08-25,30,,FAC,F004-00002262,PAN AMERICAN SILVER HUARON S.A.,5724.18,,,,PENDIENTE,,,,,,,,,,,,,,,,,,Arnold Hernández,,SERVICIO,,,,,,,,3.3560,,,,2026-04-16 07:58:55.280000,AsistenteContable1,1
026-0011936,LIMA,2026-08-08,,,,DET MANT,,2026-08-25,30,,FAC,F004-00002264,PERUPLAST S A,4708.20,,,,PENDIENTE,,,,,,,,,,,,,,,,,,Mercedes Quispe,,SERVICIO,,,,,,,,3.3560,,,,2026-04-16 07:58:55.280000,AsistenteContable1,1
,LIMA,,,,,DET MANT,,2026-08-25,30,,FAC,F004-00002266,PERUPLAST S A,6006.20,,,,PENDIENTE,,,,,,,,,,,,,,,,,,Mercedes Quispe,,SERVICIO,,,,,,,,3.3560,,,,2026-04-16 07:58:55.280000,AsistenteContable1,1
026-0012036,LIMA,2026-08-28,,,,VENTA,,2026-08-28,30,,FAC,F004-00002272,INDUSTRIAL EXCHANGER TUBILLAS S.A.C.,4.78,,,,PENDIENTE,,,,,,,,,,,,,,,,,,Rintusac,,FABRIC.,,,,,,,,3.3480,,,,2026-04-16 07:58:55.280000,AsistenteContable1,1
026-0012141,LIMA,2026-08-26,,,,VENTA,,2026-08-31,30,,FAC,F004-00002274,TECNOMECANICA SERVICIOS HIDRAULICOS SOCIEDAD ANONIMA CERRADA,5782.00,,,,PENDIENTE,,,,,,,,,,,,,,,,,,Jeancarlos Castillo,,VENTA,,,,,,,,3.3560,,,,2026-04-16 07:58:55.297000,AsistenteContable1,1
026-0011970,LIMA,2026-08-03,,,,DET MANT,,2026-08-31,30,,FAC,F004-00002275,ZANINGROUP MINING AND CONSTRUCTION S.A.C.-ZANINGROUP S.A.C.,1640.20,,,,PENDIENTE,,,,,,,,,,,,,,,,,,Jeancarlos Castillo,,SERVICIO,,,,,,,,3.3560,,,,2026-04-16 07:58:55.297000,AsistenteContable1,1
026-0012097,LIMA,2026-08-17,,,,VENTA,,2026-08-31,30,,FAC,F004-00002276,TP INTERCAMBIADORES S.A.C.,2950.00,,,,PENDIENTE,,,,,,,,,,,,,,,,,,Asistente Comercial,,VENTA,,,,,,,,3.3560,,,,2026-04-16 07:58:55.297000,AsistenteContable1,1
026-0012105,LIMA,2026-08-21,,,,DET MANT,,2026-09-02,30,,FAC,F004-00002279,GESTION MINERA INTEGRAL S.A.C.,802.40,,,,PENDIENTE,,,,,,,,,,,,,,,,,,Mercedes Quispe,,SERVICIO,,,,,,,,3.3680,,,,2026-04-16 07:58:55.297000,AsistenteContable1,1
026-0012094,LIMA,2026-08-21,,,,DET MANT,,2026-09-02,30,,FAC,F004-00002280,GESTION MINERA INTEGRAL S.A.C.,649.00,,,,PENDIENTE,,,,,,,,,,,,,,,,,,Mercedes Quispe,,SERVICIO,,,,,,,,3.3680,,,,2026-04-16 07:58:55.297000,AsistenteContable1,1
026-0012018,LIMA,2026-08-12,,,,DET MANT,,2026-09-02,30,,FAC,F004-00002281,GESTION MINERA INTEGRAL S.A.C.,10549.20,,,,PENDIENTE,,,,,,,,,,,,,,,,,,Mercedes Quispe,,SERVICIO,,,,,,,,3.3680,,,,2026-04-16 07:58:55.297000,AsistenteContable1,1
026-0012076,LIMA,2026-08-29,,,,DET MANT,,2026-09-02,30,,FAC,F004-00002282,NEXA RESOURCES CAJAMARQUILLA S.A.,6667.00,,,,PENDIENTE,,,,,,,,,,,,,,,,,,Mercedes Quispe,,SERVICIO,,,,,,,,3.3680,,,,2026-04-16 07:58:55.297000,AsistenteContable1,1
026-0011675,LIMA,2026-05-22,,,,RET,,2026-09-03,60,,FAC,F004-00002284,MAQPOWER S.A.C.,967.60,,,,PENDIENTE,,,,,,,,,,,,,,,,,,Jeancarlos Castillo,,VENTA,,,,,,,,3.3600,,,,2026-04-16 07:58:55.313000,AsistenteContable1,1
026-0012161,LIMA,2026-09-03,,,,RET,,2026-09-03,30,,FAC,F004-00002285,OVERPRIME MANUFACTURING S.A.C.,2655.00,,,,PENDIENTE,,,,,,,,,,,,,,,,,,Mercedes Quispe,,VENTA,,,,,,,,3.3600,,,,2026-04-16 07:58:55.313000,AsistenteContable1,1
026-0012142,LIMA,2026-09-01,,,,RET,,2026-09-03,30,,FAC,F004-00002286,ROBOCON SERVICIOS S.A.C.,10148.00,,,,PENDIENTE,,,,,,,,,,,,,,,,,,Jeancarlos Castillo,,FABRIC.,,,,,,,,3.3600,,,,2026-04-16 07:58:55.313000,AsistenteContable1,1
026-0012022,LIMA,2026-09-04,,,,VENTA,,2026-09-04,0,,FAC,E001-1245,MICHELL Y CIA S.A.,9657.12,,,,PENDIENTE,,,,,,,,,,,,,,,,,,Manuel Alvarez,,VENTA,,,,,,,,3.3650,,,,2026-04-16 07:58:55.330000,AsistenteContable1,1
026-0012158,LIMA,2026-09-03,,,,DET MANT,,2026-09-04,15,,FAC,F004-00002287,L & G INTERNATIONAL PARTS S.A.C.,782.00,,,,PENDIENTE,,,,,,,,,,,,,,,,,,Asistente Comercial,,VENTA,,,,,,,,3.3650,,,,2026-04-16 07:58:55.330000,AsistenteContable1,1
026-0012199,LIMA,2026-09-02,,,,RET,,2026-09-04,60,,FAC,F004-00002288,JRC INGENIERÍA Y CONSTRUCCIÓN S.A.C.,4393.14,,,,PENDIENTE,,,,,,,,,,,,,,,,,,Arnold Hernández,,VENTA,,,,,,,,3.3650,,,,2026-04-16 07:58:55.330000,AsistenteContable1,1
