RM_RF,Sede,F_RM,F_Ing_Desp,F_Desp,F_Rec_Ft,SPOT,Tasa,F_Emision,Dias_Cred,F_Vencimiento,Tipo_Doc,NroFactura,Cliente,USD,Detracc_Ret,Neto,Agenda,Canc_Pendiente,Estatus,Situacion,Fecha_Est_Pago,F_Pago,BCO,MON,Nro_Ope,Pago_Parcial,Pago_Total,Detrac_Ret_Pago,Factoring,Saldo_x_Cobrar,Dias_Planta,Dias_Desp,Dias_Sin_Fact,Dias_Mora,Dias_Cierre_RM,RR_VV,F_Pago_Comision,Rubro,T_Pedido,Nro_Semana,Anio,Sem_Pago,Detrac_SUNAT,Estado_Det_Ret,F_Fact,T_Cam_Fact,Detracci_USD,Verificacion_Det,Observaciones,Fecha_Ult_Mod_Manual,Usuario_Mod_Manual,Origen
026-0012145,LIMA,2026-09-02,,,,RET,,2026-09-04,60,,FAC,F004-00002289,JRC INGENIERÍA Y CONSTRUCCIÓN S.A.C.,2183.00,,,,PENDIENTE,,,,,,,,,,,,,,,,,,Arnold Hernández,,VENTA,,,,,,,,3.3650,,,,2026-04-16 07:58:55.330000,AsistenteContable1,1
026-0012060,LIMA,2026-08-05,,,,RET,,2026-09-04,60,,FAC,F004-00002290,JRC INGENIERÍA Y CONSTRUCCIÓN S.A.C.,3516.40,,,,PENDIENTE,,,,,,,,,,,,,,,,,,Arnold Hernández,,VENTA,,,,,,,,3.3650,,,,2026-04-16 07:58:55.330000,AsistenteContable1,1
026-0012125,LIMA,2026-08-28,,,,DET MANT,,2026-09-05,7,,FAC,F004-00002291,LA LLAVE S.A.,2112.20,,,,PENDIENTE,,,,,,,,,,,,,,,,,,Jeancarlos Castillo,,SERVICIO,,,,,,,,3.3690,,,,2026-04-16 07:58:55.330000,AsistenteContable1,1
026-0012132,LIMA,2026-08-24,,,,RET,,2026-09-05,30,,FAC,F004-00002292,ADMINISTRACION DE EMPRESAS S.A.C.,7540.20,,,,PENDIENTE,,,,,,,,,,,,,,,,,,Arnold Hernández,,VENTA,,,,,,,,3.3690,,,,2026-04-16 07:58:55.330000,AsistenteContable1,1
026-0012228,LIMA,2026-09-07,,,,VENTA,,2026-09-07,7,,FAC,F004-00002294,ARNAO SERVICES S.A.C,1180.00,,,,PENDIENTE,,,,,,,,,,,,,,,,,,Asistente Comercial,,FABRIC.,,,,,,,,3.3690,,,,2026-04-16 07:58:55.347000,AsistenteContable1,1
026-0012190,LIMA,2026-09-03,,,,DET MANT,,2026-09-07,15,,FAC,F004-00002295,L & G INTERNATIONAL PARTS S.A.C.,782.15,,,,PENDIENTE,,,,,,,,,,,,,,,,,,Asistente Comercial,,VENTA,,,,,,,,3.3690,,,,2026-04-16 07:58:55.347000,AsistenteContable1,1
026-0011839,LIMA,2026-08-13,,,,RET,,2026-09-08,45,,FAC,F004-00002296,RESEMIN S.A.,10100.80,,,,PENDIENTE,,,,,,,,,,,,,,,,,,Asistente Comercial,,VENTA,,,,,,,,3.3720,,,,2026-04-16 07:58:55.347000,AsistenteContable1,1
026-0012180,LIMA,2026-09-04,,,,RET,,2026-09-08,30,,FAC,F004-00002298,FRESOMAC  S.A.C.,1453.76,,,,PENDIENTE,,,,,,,,,,,,,,,,,,Arnold Hernández,,VENTA,,,,,,,,3.3720,,,,2026-04-16 07:58:55.347000,AsistenteContable1,1
026-0012070,LIMA,2026-08-19,,,,DET MANT,,2026-09-09,30,,FAC,F004-00002299,KOMATSU-MITSUI MAQUINARIAS PERU S.A.,2171.20,,,,PENDIENTE,,,,,,,,,,,,,,,,,,Jeancarlos Castillo,,SERVICIO,,,,,,,,3.3600,,,,2026-04-16 07:58:55.347000,AsistenteContable1,1
026-0012198,LIMA,2026-09-02,,,,RET,,2026-09-09,45,,FAC,F004-00002301,RESEMIN S.A.,531.00,,,,PENDIENTE,,,,,,,,,,,,,,,,,,Jeancarlos Castillo,,VENTA,,,,,,,,3.3600,,,,2026-04-16 07:58:55.347000,AsistenteContable1,1
026-0012234,LIMA,2026-09-07,,,,RET,,2026-09-09,45,,FAC,F004-00002302,RESEMIN S.A.,531.00,,,,PENDIENTE,,,,,,,,,,,,,,,,,,Jeancarlos Castillo,,VENTA,,,,,,,,3.3600,,,,2026-04-16 07:58:55.347000,AsistenteContable1,1
026-0012205,LIMA,2026-09-03,,,,RET,,2026-09-10,30,,FAC,F004-00002303,ROBOCON SERVICIOS S.A.C.,1156.40,,,,PENDIENTE,,,,,,,,,,,,,,,,,,Jeancarlos Castillo,,VENTA,,,,,,,,3.3620,,,,2026-04-16 07:58:55.360000,AsistenteContable1,1
026-0011993,LIMA,2026-09-03,,,,DET MANT,,2026-09-11,0,,FAC,F004-00002304,FAMAX SEAL PERU S.A.C,1125.72,,,,PENDIENTE,,,,,,,,,,,,,,,,,,Manuel Alvarez,,SERVICIO,,,,,,,,3.3730,,,,2026-04-16 07:58:55.360000,AsistenteContable1,1
026-0012186,LIMA,2026-09-01,,,,RET,,2026-09-11,60,,FAC,F004-00002305,VOLCAN COMPANIA MINERA S.A.A.,2788.34,,,,PENDIENTE,,,,,,,,,,,,,,,,,,Arnold Hernández,,VENTA,,,,,,,,3.3730,,,,2026-04-16 07:58:55.360000,AsistenteContable1,1
026-0011972,LIMA,2026-07-17,,,,RET,,2026-09-11,60,,FAC,F004-00002306,COMPAÑIA MINERA CHUNGAR S.A.C.,11473.73,,,,PENDIENTE,,,,,,,,,,,,,,,,,,Arnold Hernández,,VENTA,,,,,,,,3.3730,,,,2026-04-16 07:58:55.360000,AsistenteContable1,1
026-0011964,LIMA,2026-09-11,,,,RET,,2026-09-12,30,,FAC,F004-00002307,CATALINA HUANCA SOCIEDAD MINERA S.A.C.,7516.60,,,,PENDIENTE,,,,,,,,,,,,,,,,,,Mercedes Quispe,,VENTA,,,,,,,,3.3710,,,,,,1
026-0012213,LIMA,2026-09-10,,,,VENTA,,2026-09-12,30,,FAC,F004-00002308,TP INTERCAMBIADORES S.A.C.,1468.51,,,,PENDIENTE,,,,,,,,,,,,,,,,,,Mario Li,,FABRIC.,,,,,,,,3.3710,,,,,,1
026-0012251,LIMA,2026-09-10,,,,RET,,2026-09-12,60,,FAC,F004-00002309,JRC INGENIERÍA Y CONSTRUCCIÓN S.A.C.,1604.80,,,,PENDIENTE,,,,,,,,,,,,,,,,,,Arnold Hernández,,VENTA,,,,,,,,3.3710,,,,,,1
026-0012255,LIMA,2026-09-10,,,,RET,,2026-09-12,60,,FAC,F004-00002310,JRC INGENIERÍA Y CONSTRUCCIÓN S.A.C.,3516.40,,,,PENDIENTE,,,,,,,,,,,,,,,,,,Arnold Hernández,,VENTA,,,,,,,,3.3710,,,,,,1
026-0012015,LIMA,2026-08-17,,,,VENTA,,2026-09-14,0,,FAC,F004-00002311,INDUSTRIA ESPECIALIZADA Y REPRESENTACIONES SOCIEDAD ANONIMA CERRADA,4389.60,,,,PENDIENTE,,,,,,,,,,,,,,,,,,Jeancarlos Castillo,,VENTA,,,,,,,,3.3710,,,,,,1
