Cotizacion,Cod_Oportunidad,Fecha,Periodo,Vendedor,Cliente,Estado,Producto,Codigo,Marca,Cantidad,Precio_Unit,Monto_Sin_IGV
026-0011935,,2026-08-28,2026-08,Mercedes Quispe,COMPAÑIA MINERA COIMOLACHE S.A.,Cancelada,KIT2 TL10P2-316-0.5-EPDMP / C CHANNEL PLATE 4H GPHE / 3950888503,40100470,Alfa Laval,76.0,363.8,27510.56
026-0011936,OPP-0000000109,2026-08-08,2026-08,Mercedes Quispe,PERUPLAST S A,Confirmada,SERVICIO DE MANTENIMIENTO Y REPARACION,97000001,Otros,1.0,3990.0,3990.0
026-0011940,OPP-0000000062,2026-08-04,2026-08,Manuel Alvarez,SERVICIOS MINEROS RF S.A.C.,Confirmada,SERVICIO MANTENIMIENTO,91000001,,1.0,7810.0,7263.3
026-0011942,OPP-0000000356,2026-08-08,2026-08,Mercedes Quispe,MINSUR S. A.,Confirmada,SERVICIO REPARACION,92000001,,1.0,7200.0,5868.0
026-0011951,OPP-0000000005,2026-08-10,2026-08,Jeancarlos Castillo,XIAN BUSINESS CORPORATION S.A.C.,Confirmada,ENFRIADOR COMPLETO ACEITE/AGUA/ACEITE BAP P/PAUS 853-S8 555-139 VER02,40600436,Heatex,1.0,1850.0,1850.0
026-0011964,OPP-0000000089,2026-09-11,2026-09,Mercedes Quispe,CATALINA HUANCA SOCIEDAD MINERA S.A.C.,Confirmada,ENFRIADOR DE ACEITE PARA COMPRESORA ATLAS COPCO GA280 (NP: 1092116720),40600594,Heatex,1.0,6370.0,6370.0
026-0011968,OPP-0000000003,2026-08-17,2026-08,Jeancarlos Castillo,ANTESA S.A.C.,Confirmada,"GRAPA DESMONT. TIPO ""M"" HEATEX COSTILLADAS 160906 P / 106570",40600008,Heatex,146.0,4.08,595.68
026-0011968,OPP-0000000003,2026-08-17,2026-08,Jeancarlos Castillo,ANTESA S.A.C.,Confirmada,SELLO DESMONT. C / CANAL HEATEX 721201B V2,40600476,Heatex,146.0,6.5,949.0
026-0011968,OPP-0000000003,2026-08-17,2026-08,Jeancarlos Castillo,ANTESA S.A.C.,Confirmada,SELLO DESMONT. S / CANAL HEATEX 721201T V2,40600477,Heatex,146.0,6.5,949.0
026-0011970,OPP-0000000004,2026-08-03,2026-08,Jeancarlos Castillo,ZANINGROUP MINING AND CONSTRUCTION S.A.C.-ZANINGROUP S.A.C.,Confirmada,SERVICIO REPARACION,92000001,,1.0,1390.0,1390.0
026-0011980,OPP-0000000024,2026-08-08,2026-08,Mercedes Quispe,PERUPLAST S A,Confirmada,SERVICIO DE EVALUACION,90000011,,1.0,750.0,750.0
026-0011980,OPP-0000000024,2026-08-08,2026-08,Mercedes Quispe,PERUPLAST S A,Confirmada,SERVICIO DE MANTENIMIENTO Y REPARACION,97000001,Otros,1.0,4340.0,4340.0
026-0011984,,2026-08-12,2026-08,Arnold Hernández,RESEMIN S.A.,Confirmada,SERVICIO MANTENIMIENTO,91000001,,1.0,775.0,775.0
026-0011990,OPP-0000000038,2026-08-08,2026-08,Jeancarlos Castillo,VPTM IQUITOS S.A.C.,Confirmada,REVESTIMIENTO PARA S62-IS10 238PL,10540238,Otros,4.0,85.0,340.0
026-0011993,OPP-0000000028,2026-09-03,2026-09,Manuel Alvarez,FAMAX SEAL PERU S.A.C,Confirmada,SERVICIO MANTENIMIENTO,91000001,,1.0,1060.0,954.0
026-0012003,OPP-0000000353,2026-08-01,2026-08,Mercedes Quispe,NEXA RESOURCES CAJAMARQUILLA S.A.,Confirmada,SERVICIO MANTENIMIENTO,91000001,,1.0,5650.0,5650.0
026-0012007,OPP-0000000054,2026-08-31,2026-08,Rintusac,RESEMIN S.A.,Confirmada,ENFRIADOR OIL HIDR. BOWMAN FG120 1427-3TC (3P) COBRE,40200015,Bowman,20.0,1070.0,21400.0
026-0012008,OPP-0000000054,2026-09-03,2026-09,Rintusac,RESEMIN S.A.,Confirmada,ENFRIADOR DE ACEITE HIDR. HTXDC-011P-02-N-BW 24V DC (copiar),40600390,Heatex,7.0,450.0,3150.0
026-0012008,OPP-0000000054,2026-09-03,2026-09,Rintusac,RESEMIN S.A.,Confirmada,ENFRIADOR SISTEMA DE ACEITE P/ MOTOR DEUTZ TCD 3.6,40600579,Heatex,10.0,920.0,9200.0
026-0012010,,2026-08-03,2026-08,Jeancarlos Castillo,ZANINGROUP MINING AND CONSTRUCTION S.A.C.-ZANINGROUP S.A.C.,Cancelada,ENFRIADOR COMPLETO ACEITE/AGUA/ACEITE BAP P/PAUS 853-S8 555-139 VER02,40600436,Heatex,1.0,2190.0,2190.0
026-0012015,OPP-0000000065,2026-08-17,2026-08,Jeancarlos Castillo,INDUSTRIA ESPECIALIZADA Y REPRESENTACIONES SOCIEDAD ANONIMA CERRADA,Confirmada,ENFRIADOR OIL HIDR. BOWMAN FG120 1427-3TC (3P) COBRE,40200015,Bowman,3.0,1240.0,3720.0
026-0012018,OPP-0000000068,2026-08-12,2026-08,Mercedes Quispe,GESTION MINERA INTEGRAL S.A.C.,Confirmada,SERVICIO DE MANTENIMIENTO Y REPARACION,97000001,Otros,1.0,10530.0,8940.0
026-0012022,OPP-0000000070,2026-09-04,2026-09,Mario Li,TP INTERCAMBIADORES S.A.C.,Confirmada,INTERCAMBIADOR SOLDADO ACP220EQ-196L-F / 3075201881,40100818,,1.0,10554.08,10131.92
026-0012023,OPP-0000000153,2026-08-17,2026-08,Arnold Hernández,PAN AMERICAN SILVER HUARON S.A.,Confirmada,SERVICIO REPARACION,92000001,,1.0,5390.0,4851.0
026-0012024,OPP-0000000033,2026-08-17,2026-08,Mercedes Quispe,"SOUTHERN PERU COPPER CORPORATION, SUCURSAL DEL PERÚ",Confirmada,JUNTA PLACA A15B-NBRP-HP / PEAK PLATE GASKET GPHE / 3233002246,40100229,Alfa Laval,4.0,63.5,254.0
026-0012024,OPP-0000000033,2026-08-17,2026-08,Mercedes Quispe,"SOUTHERN PERU COPPER CORPORATION, SUCURSAL DEL PERÚ",Confirmada,JUNTA PLACA A15B-NBRP-LP / FLAT PLATE GASKET GPHE / 3233002046,40100230,Alfa Laval,791.0,58.8,46510.8
026-0012024,OPP-0000000033,2026-08-17,2026-08,Mercedes Quispe,"SOUTHERN PERU COPPER CORPORATION, SUCURSAL DEL PERÚ",Confirmada,"PEGAMENTO *DG* GC8 4,2 Kg (approx 4,72 L) GPHE / 189990026",40100261,Alfa Laval,8.0,355.0,2840.0
026-0012028,OPP-0000000072,2026-08-01,2026-08,Arnold Hernández,VOLCAN COMPANIA MINERA S.A.A.,Confirmada,ENFRIADOR DE AIRE MANITOU ,40600544,Heatex,1.0,3717.99,3717.99
026-0012028,OPP-0000000072,2026-08-01,2026-08,Arnold Hernández,VOLCAN COMPANIA MINERA S.A.A.,Confirmada,RADIADOR DE REFRIGERANTE MANITOU ,40600542,Heatex,1.0,5969.25,5969.25
026-0012029,,2026-08-03,2026-08,Arnold Hernández,JRC INGENIERÍA Y CONSTRUCCIÓN S.A.C.,Confirmada,RADIADOR REFRIGERANTE P/CAT C6.6 365-2909 BAP C/ALEROS,40600311,Heatex,1.0,1690.0,1690.0
026-0012031,OPP-0000000115,2026-08-11,2026-08,Arnold Hernández,OPERACIONES MINERAS SAN PEDRO SOCIEDAD ANONIMA CERRADA,Confirmada,SERVICIO REPARACION,92000001,,1.0,2938.54,2938.54
026-0012036,OPP-0000000366,2026-08-28,2026-08,Rintusac,INDUSTRIAL EXCHANGER TUBILLAS S.A.C.,Confirmada,LAMINA ALUMINIO X 0.23MM (BOBINA),40900049,Heatex,0.9,4.5,4.05
026-0012038,,2026-08-12,2026-08,Arnold Hernández,RESEMIN S.A.,Confirmada,SERVICIO REPARACION,92000001,,1.0,764.0,764.0
026-0012039,OPP-0000000076,2026-08-01,2026-08,Jeancarlos Castillo,ROBOCON SERVICIOS S.A.C.,Cancelada,KIT DE ENFRIAMIENTO P/ NORMET TCD2012 ,40600567,Heatex,1.0,2100.0,2100.0
026-0012040,OPP-0000000076,2026-08-21,2026-08,Jeancarlos Castillo,ROBOCON SERVICIOS S.A.C.,Confirmada,KIT DE ENFRIAMIENTO P/ NORMET TCD2012 ,40600567,Heatex,1.0,2500.0,2500.0
026-0012041,,2026-08-03,2026-08,Mario Li,TP INTERCAMBIADORES S.A.C.,Cancelada,SERVICIO MANTENIMIENTO,91000001,,1.0,3250.0,3250.0
026-0012042,,2026-08-03,2026-08,Jeancarlos Castillo,OYOLA ALFARO RONAL RODY,Cancelada,SELLO DESMONT. C / CANAL HEATEX 721201B V2,40600476,Heatex,94.0,1.7,159.8
026-0012042,,2026-08-03,2026-08,Jeancarlos Castillo,OYOLA ALFARO RONAL RODY,Cancelada,SELLO DESMONT. S / CANAL HEATEX 721201T V2,40600477,Heatex,94.0,1.7,159.8
026-0012042,,2026-08-03,2026-08,Jeancarlos Castillo,OYOLA ALFARO RONAL RODY,Cancelada,"TUBO DESMONT. CU 40"" ""M"" WATER-AIR",20100149,RINTUSAC,70.0,34.0,2380.0
026-0012043,,2026-08-03,2026-08,Mario Li,TECNOFIL S A,Cancelada,JUNTA PLACA M15B-NBRP-C / PEAK GASKET GPHE / 3233018196,40100228,Alfa Laval,62.0,72.35,4485.7
026-0012044,,2026-08-03,2026-08,Jeancarlos Castillo,ROBOCON SERVICIOS S.A.C.,Cancelada,ENFRIADOR DE ACEITE HIDRAULICO P/MOTOR TCD 2013 ALPHA 30 V2,40600460,Heatex,4.0,1400.0,5600.0
026-0012044,,2026-08-03,2026-08,Jeancarlos Castillo,ROBOCON SERVICIOS S.A.C.,Cancelada,ENFRIADOR DE ACEITE HIDRAULICO P/MOTOR TCD 2013 ALPHA 30 V2,40600460,Heatex,1.0,1180.0,1180.0
026-0012044,,2026-08-03,2026-08,Jeancarlos Castillo,ROBOCON SERVICIOS S.A.C.,Cancelada,RADIADOR REFRIGERANTE P/CAT C6.6 365-2909 BAP C/ALEROS,40600311,Heatex,4.0,1640.0,6560.0
026-0012045,OPP-0000000210,2026-08-03,2026-08,Manuel Alvarez,CONTRATISTAS PERUMIN S.A.C.,Cancelada,SELLO DESMONT. C / CANAL AGUA-AIRE-ACEITE HEATEX,40600512,Heatex,10.0,2.35,23.5
026-0012045,OPP-0000000210,2026-08-03,2026-08,Manuel Alvarez,CONTRATISTAS PERUMIN S.A.C.,Cancelada,SELLO DESMONT. S / CANAL AGUA-AIRE-ACEITE HEATEX,40600513,Heatex,10.0,2.35,23.5
026-0012046,,2026-08-17,2026-08,Jeancarlos Castillo,TUMI CONTRATISTAS MINEROS S.A.C.,Cancelada,ENFRIADOR OIL HIDR. BOWMAN GL240-1428-4 (3P) 90 / 10,40200219,Bowman,4.0,2400.0,9600.0
026-0012047,,2026-08-11,2026-08,Jeancarlos Castillo,TECNOMECANICA SERVICIOS HIDRAULICOS SOCIEDAD ANONIMA CERRADA,Confirmada,ENFRIADOR HIDRAULICO BAP COMPLETO CMS1/O/24V/002 66337005,40600503,Heatex,1.0,980.0,980.0
026-0012048,OPP-0000000210,2026-08-03,2026-08,Manuel Alvarez,METALTEC ENGENEERING STEELS E.I.R.L.,Confirmada,SELLO DESMONT. C / CANAL AGUA-AIRE-ACEITE HEATEX,40600512,Heatex,10.0,2.35,23.5
026-0012048,OPP-0000000210,2026-08-03,2026-08,Manuel Alvarez,METALTEC ENGENEERING STEELS E.I.R.L.,Confirmada,SELLO DESMONT. S / CANAL AGUA-AIRE-ACEITE HEATEX,40600513,Heatex,10.0,2.35,23.5
026-0012049,OPP-0000000077,2026-08-05,2026-08,Manuel Alvarez,UNION DE CONCRETERAS S.A,Cancelada,RADIADOR DE SISTEMA REFRIGERANTE P / CAT C4.4 P / 236-7766 BAR AND PLATE,40600295,Heatex,1.0,1470.0,1470.0
026-0012050,OPP-0000000082,2026-08-13,2026-08,Arnold Hernández,JRC INGENIERÍA Y CONSTRUCCIÓN S.A.C.,Confirmada,RADIADOR AFTERCOOLER R1600H,20100078,RINTUSAC,1.0,4940.0,4693.0
026-0012051,,2026-08-07,2026-08,Jeancarlos Castillo,RESEMIN S.A.,Confirmada,VENTILADOR HEATEX P/ENFRIADOR HTX0367AH11 HYD,40600426,Heatex,3.0,360.0,1080.0
026-0012052,OPP-0000000083,2026-08-07,2026-08,Manuel Alvarez,MINERA CRC SOCIEDAD ANONIMA CERRADA,Confirmada,SERVICIO MANTENIMIENTO,91000001,,1.0,750.0,727.5
026-0012053,,2026-08-05,2026-08,Arnold Hernández,STRACON PERÚ S.A.,Cancelada,SERVICIO REPARACION,92000001,,1.0,4690.0,4690.0
026-0012054,OPP-0000000086,2026-08-07,2026-08,Arnold Hernández,JRC INGENIERÍA Y CONSTRUCCIÓN S.A.C.,Confirmada,COMBICOOLER 845483 P/. DESATADOR PAUS PSCALE 8T (copiar),40600414,Heatex,1.0,4320.0,3542.4
026-0012055,OPP-0000000369,2026-08-04,2026-08,Rintusac,RESEMIN S.A.,Confirmada,ENFRIADOR SISTEMA DE ACEITE P / C4.4 P / N.HTX- 656549 -91 v4,40600164,Heatex,10.0,800.0,8000.0
026-0012056,OPP-0000000057,2026-09-02,2026-09,Mercedes Quispe,DRILLING CORP S.A.C.,Confirmada,ENFRIADOR OIL HIDR. BOWMAN FG120 1427-3TC (3P) COBRE,40200015,Bowman,2.0,1232.0,2464.0
026-0012057,OPP-0000000087,2026-08-04,2026-08,Mercedes Quispe,CORPORACION CHINCHAY S.A.C.,Enviada,ENFRIADOR OIL HIDR. BOWMAN FG120 1427-3TC (3P) COBRE,40200015,Bowman,1.0,1232.0,1232.0
026-0012058,OPP-0000000088,2026-08-05,2026-08,Arnold Hernández,JRC INGENIERÍA Y CONSTRUCCIÓN S.A.C.,Confirmada,INTERCOOLER DE AIRE C4.4 V02/COMPLETO CON TINA C/ALERO			 ,40600529,Heatex,1.0,2190.0,2190.0
026-0012059,,2026-08-04,2026-08,Jeancarlos Castillo,TECHNICAL SOLUTIONS SRL,Cancelada,JUNTA ANULAR M10BW-CR-C / PEAK RING GASKET GPHE / 3233016195,40100346,Alfa Laval,22.0,19.85,436.7
026-0012060,OPP-0000000090,2026-08-05,2026-08,Arnold Hernández,JRC INGENIERÍA Y CONSTRUCCIÓN S.A.C.,Confirmada,"ENFRIADOR SIST. ACEITE T/ PLACAS CAT R1600H, 10PL (copiar)",40600398,Heatex,1.0,2980.0,2980.0
026-0012061,OPP-0000000093,2026-08-05,2026-08,Manuel Alvarez,FAVASERVIPERU E.I.R.L.,Enviada,JUNTA PLACA M10M-NBRB-C / PEAK GASKET GPHE / 3900176907,40100094,Alfa Laval,71.0,42.23,2778.25
026-0012061,OPP-0000000093,2026-08-05,2026-08,Manuel Alvarez,FAVASERVIPERU E.I.R.L.,Enviada,JUNTA PLACA M10M-NBRP-C / PEAK GASKET II GPHE / 390084017406,40100258,Alfa Laval,3.0,74.2,204.79
026-0012061,OPP-0000000093,2026-08-05,2026-08,Manuel Alvarez,FAVASERVIPERU E.I.R.L.,Enviada,PLACA M10M1-316-0.5-4H MET.COMPLETE PLATE GPHE / 3672174003,40100097,Alfa Laval,68.0,149.12,8619.14
026-0012061,OPP-0000000093,2026-08-05,2026-08,Manuel Alvarez,FAVASERVIPERU E.I.R.L.,Enviada,PLACA M10M2-316-0.6-0H MET.COMPLETE PLATE GPHE / 3673170076,40100092,Alfa Laval,3.0,163.2,447.98
026-0012061,OPP-0000000093,2026-08-05,2026-08,Manuel Alvarez,FAVASERVIPERU E.I.R.L.,Enviada,PLACA M10M2-316-0.6-4H MET.COMPLETE PLATE GPHE / 3673170003,40100264,Alfa Laval,3.0,163.5,416.93
026-0012062,OPP-0000000091,2026-08-05,2026-08,Mercedes Quispe,"SOUTHERN PERU COPPER CORPORATION, SUCURSAL DEL PERÚ",Enviada,JUNTA PLACA M15B-NBRP-C / PEAK GASKET GPHE / 3233018196,40100228,Alfa Laval,100.0,69.8,6980.0
026-0012063,,2026-08-05,2026-08,Jeancarlos Castillo,LA LLAVE S.A.,Cancelada,SERVICIO DE EVALUACION,90000011,,1.0,0,0
026-0012064,OPP-0000000233,2026-08-19,2026-08,Jeancarlos Castillo,LA LLAVE S.A.,Confirmada,SERVICIO REPARACION,92000001,,1.0,1400.0,1260.0
026-0012065,,2026-08-05,2026-08,Mario Li,TDM GEOSINTETICOS S.A.,Cancelada,INTERCAMBIADOR SOLDADO CB110-64H BPHE / 3287133282,40100558,Alfa Laval,1.0,3688.0,3688.0
026-0012066,,2026-08-05,2026-08,Arnold Hernández,FRESOMAC  S.A.C.,Cancelada,ENFRIADOR COMPLETO BAP HEATEX HTX 30-2-9 M/HYD P/040903014,40600435,Heatex,1.0,2350.0,2350.0
026-0012066,,2026-08-05,2026-08,Arnold Hernández,FRESOMAC  S.A.C.,Cancelada,PANAL DE OILCOOLER 1109.155.1000 P/. COMPRESOR KAESER FSD450 (copiar),40600384,Heatex,1.0,750.0,750.0
026-0012067,,2026-08-05,2026-08,Arnold Hernández,TOTAL MINING PARTS S.A.C.,Cancelada,SERVICIO MANTENIMIENTO,91000001,,1.0,450.0,427.5
026-0012068,,2026-08-05,2026-08,Rintusac,GUIAL SOLUTIONS E.I.R.L.,Cancelada,ENFRIADOR OIL HIDR. BOWMAN FG100 3827-2TC (2P) COBRE,40200013,Bowman,1.0,980.0,980.0
026-0012069,,2026-08-07,2026-08,Jeancarlos Castillo,FRIGOHIELO S.A,Cancelada,SERVICIO MANTENIMIENTO,91000001,,1.0,10400.0,10400.0
026-0012069,,2026-08-07,2026-08,Jeancarlos Castillo,FRIGOHIELO S.A,Cancelada,SERVICIO MANTENIMIENTO,91000001,,1.0,20140.0,20140.0
026-0012069,,2026-08-07,2026-08,Jeancarlos Castillo,FRIGOHIELO S.A,Cancelada,SERVICIO MANTENIMIENTO,91000001,,1.0,14340.0,14340.0
026-0012070,OPP-0000000098,2026-08-19,2026-08,Jeancarlos Castillo,KOMATSU-MITSUI MAQUINARIAS PERU S.A.,Confirmada,SERVICIO REPARACION,92000001,,1.0,1840.0,1840.0
026-0012071,OPP-0000000101,2026-08-07,2026-08,Arnold Hernández,RESEMIN S.A.,Enviada,SERVICIO MANTENIMIENTO,91000001,,1.0,220.0,187.0
026-0012071,OPP-0000000101,2026-08-07,2026-08,Arnold Hernández,RESEMIN S.A.,Enviada,SERVICIO REPARACION,92000001,,1.0,620.0,620.0
026-0012071,OPP-0000000101,2026-08-07,2026-08,Arnold Hernández,RESEMIN S.A.,Enviada,SERVICIO REPARACION,92000001,,1.0,760.0,760.0
026-0012072,,2026-08-07,2026-08,Jeancarlos Castillo,DRU EXPORT S.A.C.,Cancelada,SERVICIO MANTENIMIENTO,91000001,,1.0,9850.0,9850.0
026-0012072,,2026-08-07,2026-08,Jeancarlos Castillo,DRU EXPORT S.A.C.,Cancelada,SERVICIO MANTENIMIENTO,91000001,,1.0,140.0,140.0
026-0012073,OPP-0000000105,2026-08-10,2026-08,Arnold Hernández,IESA S A,Confirmada,ENFRIADOR OIL HIDR. BOWMAN FG120 1427-3TC (3P) COBRE,40200015,Bowman,1.0,1150.0,1150.0
026-0012074,,2026-08-10,2026-08,Arnold Hernández,JRC INGENIERÍA Y CONSTRUCCIÓN S.A.C.,Cancelada,ENFRIADOR SISTEMA DE ACEITE HIDRAULICO CAT R1600H 558-1695,40600178,Heatex,1.0,2190.0,2190.0
026-0012074,,2026-08-10,2026-08,Arnold Hernández,JRC INGENIERÍA Y CONSTRUCCIÓN S.A.C.,Cancelada,SERVICIO REPARACION,92000001,,1.0,2140.0,2140.0
026-0012075,OPP-0000000113,2026-08-10,2026-08,Arnold Hernández,JRC INGENIERÍA Y CONSTRUCCIÓN S.A.C.,Confirmada,ENFRIADOR OIL HIDR. BOWMAN GL140 3928-2 (3P) 90 / 10,40200108,Bowman,1.0,2780.0,2363.0
026-0012076,OPP-0000000112,2026-08-29,2026-08,Mercedes Quispe,NEXA RESOURCES CAJAMARQUILLA S.A.,Confirmada,SERVICIO MANTENIMIENTO,91000001,,1.0,5650.0,5650.0
026-0012077,OPP-0000000061,2026-08-12,2026-08,Manuel Alvarez,MOTORES DIESEL ANDINOS S.A.- MODASA,Confirmada,RADIADOR REFRIGERANTE P/CAT C6.6 365-2909 BAP C/ALEROS,40600311,Heatex,2.0,1600.0,3200.0
026-0012078,OPP-0000000116,2026-08-18,2026-08,Arnold Hernández,OPERACIONES MINERAS SAN PEDRO SOCIEDAD ANONIMA CERRADA,Confirmada,SERVICIO REPARACION,92000001,,1.0,1450.0,1450.0
026-0012079,OPP-0000000117,2026-08-19,2026-08,Arnold Hernández,VOLCAN COMPANIA MINERA S.A.A.,Confirmada,RADIADOR COMPLETO 3799901 P/. LHD CAT R1600H,20100287,RINTUSAC,1.0,12150.0,12150.0
026-0012079,OPP-0000000117,2026-08-19,2026-08,Arnold Hernández,VOLCAN COMPANIA MINERA S.A.A.,Confirmada,RADIADOR COMPLETO 3799901 P/. LHD CAT R1600H,20100287,RINTUSAC,1.0,12150.0,12150.0
026-0012079,OPP-0000000117,2026-08-19,2026-08,Arnold Hernández,VOLCAN COMPANIA MINERA S.A.A.,Confirmada,RADIADOR COMPLETO 3799901 P/. LHD CAT R1600H,20100287,RINTUSAC,1.0,12150.0,12150.0
026-0012079,OPP-0000000117,2026-08-19,2026-08,Arnold Hernández,VOLCAN COMPANIA MINERA S.A.A.,Confirmada,RADIADOR COMPLETO 3799901 P/. LHD CAT R1600H,20100287,RINTUSAC,1.0,12150.0,12150.0
026-0012079,OPP-0000000117,2026-08-19,2026-08,Arnold Hernández,VOLCAN COMPANIA MINERA S.A.A.,Confirmada,RADIADOR COMPLETO 3799901 P/. LHD CAT R1600H,20100287,RINTUSAC,1.0,12150.0,12150.0
026-0012079,OPP-0000000117,2026-08-19,2026-08,Arnold Hernández,VOLCAN COMPANIA MINERA S.A.A.,Confirmada,RADIADOR COMPLETO 3799901 P/. LHD CAT R1600H,20100287,RINTUSAC,1.0,12150.0,12150.0
026-0012080,OPP-0000000133,2026-08-14,2026-08,Rintusac,L & G INTERNATIONAL PARTS S.A.C.,Confirmada,SERVICIO DE FABRICACION (copiar),90000012,Otros,100.66,7.3,734.83
026-0012081,,2026-08-11,2026-08,Arnold Hernández,SINERMINCO SOCIEDAD ANONIMA CERRADA,Cancelada,ENFRIADOR COMPLETO ACEITE/AGUA/ACEITE BAP P/PAUS 853-S8 555-139 VER02,40600436,Heatex,1.0,2350.0,1997.5
026-0012082,,2026-08-12,2026-08,Jeancarlos Castillo,SOLUCIONES EN PROYECTOS DE ALIMENTOS S.A.C.,Cancelada,JUNTA PLACA TS6M-EPDMP-C / RIB GASKET GPHE / 3900581428,40100178,Alfa Laval,20.0,45.85,917.0
026-0012083,OPP-0000000131,2026-08-12,2026-08,Manuel Alvarez,SHOUGANG HIERRO PERU S.A.A.,Enviada,ENFRIADOR COMPLETO BAP HEATEX HTX-725-2-3 M/AC P/*040903010,40600443,Heatex,2.0,2690.0,5380.0
026-0012084,OPP-0000000124,2026-08-12,2026-08,Mercedes Quispe,BOART LONGYEAR SAC,Borrador,ENFRIADOR DE ACEITE COMPLETO P/ JUMBO EPIROC S1D 3217751236 (copiar),40600399,Heatex,2.0,4540.0,7718.0
026-0012085,OPP-0000000126,2026-08-12,2026-08,Mercedes Quispe,COMPAÑIA MINERA COIMOLACHE S.A.,Borrador,OTROS SERVICIOS,,,1.0,178.25,178.25
026-0012085,OPP-0000000126,2026-08-12,2026-08,Mercedes Quispe,COMPAÑIA MINERA COIMOLACHE S.A.,Borrador,OTROS SERVICIOS,,,172.0,144.7,24888.4
026-0012085,OPP-0000000126,2026-08-12,2026-08,Mercedes Quispe,COMPAÑIA MINERA COIMOLACHE S.A.,Borrador,OTROS SERVICIOS,,,2.0,158.9,317.8
026-0012085,OPP-0000000126,2026-08-12,2026-08,Mercedes Quispe,COMPAÑIA MINERA COIMOLACHE S.A.,Borrador,OTROS SERVICIOS,,,1.0,158.9,158.9
026-0012085,OPP-0000000126,2026-08-12,2026-08,Mercedes Quispe,COMPAÑIA MINERA COIMOLACHE S.A.,Borrador,OTROS SERVICIOS,,,1.0,226.48,226.48
026-0012086,OPP-0000000147,2026-08-22,2026-08,Jeancarlos Castillo,XIAN BUSINESS CORPORATION S.A.C.,Confirmada,ENFRIADOR DE ACEITE HIDR. HTXDC-011P-02-N-BW 24V DC (copiar),40600390,Heatex,1.0,540.0,540.0
026-0012087,,2026-08-13,2026-08,Arnold Hernández,JRC INGENIERÍA Y CONSTRUCCIÓN S.A.C.,Cancelada,COMBICOOLER 845483 P/. DESATADOR PAUS PSCALE 8T (copiar),40600414,Heatex,1.0,4320.0,3542.4
026-0012088,OPP-0000000123,2026-08-21,2026-08,Arnold Hernández,JRC INGENIERÍA Y CONSTRUCCIÓN S.A.C.,Confirmada,SERVICIO REPARACION,92000001,,1.0,2140.0,2140.0
026-0012089,OPP-0000000122,2026-08-19,2026-08,Manuel Alvarez,CONSORCIO FRAP S.A.C.,Confirmada,SERVICIO MANTENIMIENTO,91000001,,1.0,2000.0,1900.0
026-0012089,OPP-0000000122,2026-08-19,2026-08,Manuel Alvarez,CONSORCIO FRAP S.A.C.,Confirmada,SERVICIO MANTENIMIENTO,91000001,,2.0,1720.0,3233.6
026-0012089,OPP-0000000122,2026-08-19,2026-08,Manuel Alvarez,CONSORCIO FRAP S.A.C.,Confirmada,SERVICIO MANTENIMIENTO,91000001,,4.0,2750.0,10120.0
026-0012090,OPP-0000000127,2026-08-13,2026-08,Arnold Hernández,IESA S A,Confirmada,ENFRIADOR OIL HIDR. BOWMAN FG120 1427-3TC (3P) COBRE,40200015,Bowman,1.0,1150.0,1150.0
026-0012091,,2026-08-13,2026-08,Jeancarlos Castillo,ROBOCON SERVICIOS S.A.C.,Cancelada,KIT ENFRIADOR REFR / AIRE / OIL P / NORMET TCD2013 54825770 C/C,40600592,Heatex,1.0,2150.0,2150.0
026-0012093,,2026-08-14,2026-08,Arnold Hernández,GENESAL ENERGY PERU SAC,Cancelada,SERVICIO MANTENIMIENTO,91000001,,1.0,4850.0,4850.0
026-0012094,OPP-0000000148,2026-08-21,2026-08,Mercedes Quispe,GESTION MINERA INTEGRAL S.A.C.,Confirmada,SERVICIO MANTENIMIENTO,91000001,,1.0,550.0,550.0
026-0012095,,2026-08-15,2026-08,Jeancarlos Castillo,OYOLA ALFARO RONAL RODY,Cancelada,SELLO DESMONT. C / CANAL AGUA-AIRE-ACEITE HEATEX,40600512,Heatex,89.0,2.2,195.8
026-0012095,,2026-08-15,2026-08,Jeancarlos Castillo,OYOLA ALFARO RONAL RODY,Cancelada,SELLO DESMONT. S / CANAL AGUA-AIRE-ACEITE HEATEX,40600513,Heatex,89.0,2.2,195.8
026-0012096,OPP-0000000371,2026-08-17,2026-08,Rintusac,TP INTERCAMBIADORES S.A.C.,Confirmada,ENFRIADOR OIL HIDR. BOWMAN FG120 1427-3TC (3P) COBRE,40200015,Bowman,2.0,1250.0,2500.0
026-0012097,OPP-0000000217,2026-08-17,2026-08,Rintusac,TP INTERCAMBIADORES S.A.C.,Confirmada,ENFRIADOR OIL HIDR. BOWMAN FG120 1427-3TC (3P) COBRE,40200015,Bowman,2.0,1250.0,2500.0
026-0012098,OPP-0000000218,2026-08-17,2026-08,Manuel Alvarez,RADIADORES AREQUIPA S.A.C,Enviada,SELLO DESMONT. C / CANAL HEATEX 721201B V2,40600476,Heatex,325.0,1.85,541.13
026-0012099,,2026-08-17,2026-08,Jeancarlos Castillo,ANTESA S.A.C.,Cancelada,SELLO DESMONT. C / CANAL HEATEX 721201B V2,40600476,Heatex,109.0,6.5,708.5
