Fecha,Mes,Anio,Periodo,Nro_Factura,Orden,Cod_OPP,Cod_RM,Cliente,Sector,Vendedor,Equipo,Moneda,TC,Venta_USD,Costo_USD,Margen_USD,Pct_Margen,Venta_PEN,Costo_PEN,Cuenta_Venta
04/09/2026,9,2026,2026-09,E001-1246,026-0012022,OPP-0000000070,,TP INTERCAMBIADORES S.A.C.,Metalmecánica / Siderurgia,Rintusac,VENTAS-MANTENIMIENTO,USD,3.365,5065.97,5065.97,0.0,0.0,17046.99,1505.49,
01/09/2026,9,2026,2026-09,F 004-00002277,026-0012187,OPP-0000000310,,RADIADORES ARNAO INDUSTRIAL S.A.C,Servicios / Otros,Rintusac,VENTAS-COMERCIALIZACION,USD,0.0,560.0,180.88,379.12,0.677,0.0,0.0,
01/09/2026,9,2026,2026-09,F 004-00002278,026-0012149,OPP-0000000272,,VPTM IQUITOS S.A.C.,Servicios / Otros,Jeancarlos Castillo,VENTAS-MANTENIMIENTO,USD,0.0,5664.0,0.0,5664.0,1.0,0.0,0.0,
02/09/2026,9,2026,2026-09,F 004-00002279,026-0012105,OPP-0000000148,RM-24659,GESTION MINERA INTEGRAL S.A.C.,Construcción / EPC / Contratistas,Mercedes Quispe,VENTAS-MANTENIMIENTO,USD,3.368,680.0,25.64,654.36,0.9623,2290.24,86.35,
02/09/2026,9,2026,2026-09,F 004-00002280,026-0012094,OPP-0000000148,RM-24658,GESTION MINERA INTEGRAL S.A.C.,Construcción / EPC / Contratistas,Mercedes Quispe,VENTAS-MANTENIMIENTO,USD,3.368,550.0,31.13,518.87,0.9434,1852.4,104.84,
02/09/2026,9,2026,2026-09,F 004-00002281,026-0012018,OPP-0000000068,RM-24624,GESTION MINERA INTEGRAL S.A.C.,Construcción / EPC / Contratistas,Mercedes Quispe,VENTAS-FABRICACION,USD,3.368,8940.0,2577.42,6362.58,0.7117,30109.92,8680.75,
02/09/2026,9,2026,2026-09,F 004-00002282,026-0012076,OPP-0000000112,RM-24686,NEXA RESOURCES CAJAMARQUILLA S.A.,Mining,Mercedes Quispe,VENTAS-MANTENIMIENTO,USD,3.368,5650.0,403.97,5246.03,0.9285,19029.2,1360.57,
02/09/2026,9,2026,2026-09,F 004-00002283,026-0012056,OPP-0000000057,,DRILLING CORP S.A.C.,Mining,Mercedes Quispe,VENTAS-COMERCIALIZACION,USD,3.368,2464.0,1282.15,1181.85,0.4796,8298.75,380.69,
03/09/2026,9,2026,2026-09,F 004-00002284,026-0011675,OPP-0000000322,,MAQPOWER S.A.C.,Metalmecánica / Siderurgia,Jeancarlos Castillo,VENTAS-COMERCIALIZACION,USD,3.36,820.0,270.24,549.76,0.6704,2755.2,80.43,
03/09/2026,9,2026,2026-09,F 004-00002285,026-0012161,OPP-0000000288,,OVERPRIME MANUFACTURING S.A.C.,Metalmecánica / Siderurgia,Mercedes Quispe,VENTAS-COMERCIALIZACION,USD,3.36,2250.0,821.02,1428.98,0.6351,7560.0,244.35,
03/09/2026,9,2026,2026-09,F 004-00002286,026-0012142,OPP-0000000266,,ROBOCON SERVICIOS S.A.C.,Servicios / Otros,Jeancarlos Castillo,VENTAS-COMERCIALIZACION,USD,3.36,8600.0,4331.59,4268.41,0.4963,28896.0,1289.16,
04/09/2026,9,2026,2026-09,F 004-00002287,026-0012158,OPP-0000000287,RM-24693,L & G INTERNATIONAL PARTS S.A.C.,Automotriz / Transporte,Rintusac,VENTAS-FABRICACION,USD,3.365,662.71,155.62,507.09,0.7652,2230.02,523.66,
04/09/2026,9,2026,2026-09,F 004-00002288,026-0012199,OPP-0000000321,,JRC INGENIERÍA Y CONSTRUCCIÓN S.A.C.,Construcción / EPC / Contratistas,Arnold Hernández,VENTAS-COMERCIALIZACION,USD,3.365,3723.0,1752.92,1970.08,0.5292,12527.9,520.93,
04/09/2026,9,2026,2026-09,F 004-00002289,026-0012145,OPP-0000000269,,JRC INGENIERÍA Y CONSTRUCCIÓN S.A.C.,Construcción / EPC / Contratistas,Arnold Hernández,VENTAS-COMERCIALIZACION,USD,3.365,1850.0,0.0,1850.0,1.0,6225.25,0.0,
04/09/2026,9,2026,2026-09,F 004-00002290,026-0012060,OPP-0000000090,RM-24681,JRC INGENIERÍA Y CONSTRUCCIÓN S.A.C.,Construcción / EPC / Contratistas,Arnold Hernández,VENTAS-COMERCIALIZACION,USD,3.365,2980.0,538.7,2441.3,0.8192,10027.7,1812.74,
05/09/2026,9,2026,2026-09,F 004-00002291,026-0012125,OPP-0000000249,RM-24678,LA LLAVE S.A.,Servicios / Otros,Jeancarlos Castillo,VENTAS-MANTENIMIENTO,USD,3.369,1790.0,150.57,1639.43,0.9159,6030.51,507.27,
05/09/2026,9,2026,2026-09,F 004-00002292,026-0012132,OPP-0000000255,RM-24685,ADMINISTRACION DE EMPRESAS S.A.C.,IT/Communication,Arnold Hernández,VENTAS-FABRICACION,USD,3.369,6390.0,1397.69,4992.31,0.7813,21527.91,4708.82,
05/09/2026,9,2026,2026-09,F 004-00002293,026-0012183,OPP-0000000306,,HYDROMINING GROUP S.A.C.,Mining,Arnold Hernández,VENTAS-COMERCIALIZACION,USD,3.369,3142.55,1484.73,1657.82,0.5275,10587.25,440.7,
07/09/2026,9,2026,2026-09,F 004-00002294,026-0012228,OPP-0000000359,,ARNAO SERVICES S.A.C,Metalmecánica / Siderurgia,Rintusac,VENTAS-COMERCIALIZACION,USD,3.369,1000.0,125.48,874.52,0.8745,3369.0,37.25,
07/09/2026,9,2026,2026-09,F 004-00002295,026-0012190,OPP-0000000313,RM-24701,L & G INTERNATIONAL PARTS S.A.C.,Automotriz / Transporte,Rintusac,VENTAS-COMERCIALIZACION,USD,3.369,662.84,135.89,526.95,0.795,2233.11,457.8,
