Cotizacion,Cod_Oportunidad,Fecha,Periodo,Vendedor,Cliente,Producto,Codigo,Marca,Cantidad,Precio_Unit,Monto_Sin_IGV
026-0012232,OPP-0000000373,2026-09-07,2026-09,Arnold Hernández,KROST INGENIERIA S.A.C.,JUNTA PLACA TS6M-NBRP-C / RIB GASKET GPHE / 3233029346,40100176,Alfa Laval,2.0,7177.0,12487.98
026-0012233,,2026-09-07,2026-09,Mario Li,FCA PERUANA ETERNIT S A,INTERCAMBIADOR SOLDADO DOC30-50H-F BPHE / 3287193999,40100302,Alfa Laval,1.0,1373.37,1345.9
026-0012236,OPP-0000000376,2026-09-07,2026-09,Arnold Hernández,OPERACIONES MINERAS SAN PEDRO SOCIEDAD ANONIMA CERRADA,SERVICIO REPARACION,92000001,,1.0,5778.56,5778.56
026-0012237,OPP-0000000377,2026-09-08,2026-09,Jeancarlos Castillo,DRILLING MACHINERY SPECIALISTS E.I.R.L.,ENFRIADOR DE ACEITE HTX0367AH11 HYD (copiar),40600369,Heatex,1.0,800.0,800.0
026-0012238,OPP-0000000378,2026-09-08,2026-09,Arnold Hernández,H-E PARTS INTERNATIONAL PERU S.A.C.,SERVICIO REPARACION,92000001,,1.0,0,0
026-0012239,OPP-0000000379,2026-09-08,2026-09,Jeancarlos Castillo,KONTROL R & M PERU S.A.C.,ENFRIADOR OIL HIDR. BOWMAN GL240 1428-4TC (3P) COBRE,40200034,Bowman,1.0,2150.0,2150.0
026-0012240,OPP-0000000380,2026-09-08,2026-09,Jeancarlos Castillo,DRILLING MACHINERY SPECIALISTS E.I.R.L.,KIT ENFRIADORES PARA JUMBO D3,40600272,Heatex,1.0,2290.0,2290.0
026-0012243,OPP-0000000383,2026-09-08,2026-09,Mario Li,INDUSTRIAL EXCHANGER TUBILLAS S.A.C., INTERCAMBIADOR DE PLACAS GPHE T6-BFG 43PL-316-0.50-NBRB,40100786,Alfa Laval,1.0,6240.0,6240.0
026-0012244,OPP-0000000384,2026-09-08,2026-09,Mercedes Quispe,OVERPRIME MANUFACTURING S.A.C.,RADIADOR REFRIGERANTE R1300G TIPO TUBOS DESMONT. 4F (copiar),20100143,Otros,1.0,11890.0,11890.0
026-0012245,OPP-0000000384,2026-09-08,2026-09,Mercedes Quispe,OVERPRIME MANUFACTURING S.A.C.,RADIADOR REFRIGERANTE R1300G TIPO TUBOS DESMONT. 4F (copiar),20100143,Otros,1.0,10190.0,10190.0
026-0012246,,2026-09-08,2026-09,Mercedes Quispe,NEXA RESOURCES PERU S.A.A.,VENTA DE ENFRIADOR DE ACEITE ASATT11RA25 OUTOTEC INCL. CON. HTXSET5U16,40750102,Heatex,1.0,1850.0,1850.0
